day,reset,rating_received,current_rating,ratings_since_reset,above_threshold
1,0,5,5.00,1,True
2,0,4,4.50,2,False
3,1,,0.00,0,False
4,0,,0.00,0,False
5,0,,0.00,0,False
6,0,,0.00,0,False
7,0,,0.00,0,False
8,0,,0.00,0,False
9,0,,0.00,0,False
10,0,5,5.00,1,True
11,0,,5.00,1,True
12,0,,5.00,1,True
13,0,5,5.00,2,True
14,0,,5.00,2,True
15,0,,5.00,2,True
16,0,,5.00,2,True
17,0,,5.00,2,True
18,0,,5.00,2,True
19,0,,5.00,2,True
20,0,5,5.00,3,True
21,0,,5.00,3,True
22,0,,5.00,3,True
23,0,,5.00,3,True
24,0,,5.00,3,True
25,0,,5.00,3,True
26,0,5,5.00,4,True
27,0,5,5.00,5,True
28,0,,5.00,5,True
29,0,,5.00,5,True
30,0,,5.00,5,True
31,0,,5.00,5,True
32,0,,5.00,5,True
33,0,,5.00,5,True
34,0,,5.00,5,True
35,0,,5.00,5,True
36,0,,5.00,5,True
37,0,,5.00,5,True
38,0,,5.00,5,True
39,0,,5.00,5,True
40,0,,5.00,5,True
41,0,,5.00,5,True
42,0,,5.00,5,True
43,0,,5.00,5,True
44,0,,5.00,5,True
45,0,,5.00,5,True
46,0,,5.00,5,True
47,0,,5.00,5,True
48,0,,5.00,5,True
49,0,,5.00,5,True
50,0,,5.00,5,True
51,0,,5.00,5,True
52,0,,5.00,5,True
53,0,,5.00,5,True
54,0,,5.00,5,True
55,0,,5.00,5,True
56,0,5,5.00,6,True
57,0,,5.00,6,True
58,0,,5.00,6,True
59,0,,5.00,6,True
60,0,,5.00,6,True
61,0,,5.00,6,True
62,0,,5.00,6,True
63,0,,5.00,6,True
64,0,,5.00,6,True
65,0,,5.00,6,True
66,0,,5.00,6,True
67,0,,5.00,6,True
68,0,,5.00,6,True
69,0,,5.00,6,True
70,0,,5.00,6,True
71,0,,5.00,6,True
72,0,,5.00,6,True
73,0,,5.00,6,True
74,0,,5.00,6,True
75,0,5,5.00,7,True
76,0,5,5.00,8,True
77,0,,5.00,8,True
78,0,,5.00,8,True
79,0,,5.00,8,True
80,0,,5.00,8,True
81,0,,5.00,8,True
82,0,5,5.00,9,True
83,0,,5.00,9,True
84,0,,5.00,9,True
85,0,,5.00,9,True
86,0,,5.00,9,True
87,0,,5.00,9,True
88,0,,5.00,9,True
89,0,,5.00,9,True
90,0,5,5.00,10,True
91,0,4,4.91,11,True
92,0,5,4.92,12,True
93,0,,4.92,12,True
94,0,,4.92,12,True
95,0,,4.92,12,True
96,0,5,4.92,13,True
97,0,,4.92,13,True
98,0,,4.92,13,True
99,0,5,4.93,14,True
100,0,,4.93,14,True
101,0,,4.93,14,True
102,0,,4.93,14,True
103,0,,4.93,14,True
104,0,,4.93,14,True
105,0,,4.93,14,True
106,0,,4.93,14,True
107,0,5,4.93,15,True
108,0,,4.93,15,True
109,0,,4.93,15,True
110,0,,4.93,15,True
111,0,,4.93,15,True
112,0,,4.93,15,True
113,0,,4.93,15,True
114,0,,4.93,15,True
115,0,,4.93,15,True
116,0,,4.93,15,True
117,0,,4.93,15,True
118,0,,4.93,15,True
119,0,,4.93,15,True
